# Opening lines from lichess-org/chess-openings, CC0 1.0 (public domain).
# https://github.com/lichess-org/chess-openings
#
# Generated by tools/scripts/make_book.py — do not edit by hand.
# One position per row: the path of UCI moves from the starting position, a tab,
# then the book moves with their weight (how many named variations use them).
d2d4 g8f6 c2c4 c7c5 d4d5 e7e6 b1c3 e6d5 c4d5	d7d6:16
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3	d7d5:17
d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2	f8e7:12
d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 e6d5 c4d5	d7d6:10
d2d4 g8f6 c2c4 e7e6 g1f3 d7d5 b1c3 f8e7 c1g5	e8g8:18
d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 f8e7 g1f3	e8g8:9
d2d4 g8f6 c2c4 e7e6 g2g3 f8b4 c1d2 b4e7 f1g2	d7d5:9
d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 c4d5 f6d5 e2e4	d5c3:13
d2d4 g8f6 c2c4 g7g6 b1c3 d7d5 g1f3 f8g7 d1b3	d5c4:10
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2	e8g8:13
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f2f3	e8g8:24
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3	e8g8:29
d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 g2g3 e8g8 f1g2	d7d6:12
e2e4 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4 g8f6 b1c3	d7d6:18 e7e5:10
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3	a7a6:40 g7g6:34 b8c6:21
e2e4 c7c5 g1f3 e7e6 d2d4 c5d4 f3d4 g8f6 b1c3	d7d6:10
e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 f1c4 g5g4 e1g1	g4f3:8
e2e4 e7e5 f2f4 e5f4 g1f3 g7g5 h2h4 g5g4 f3e5	g8f6:8
e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8b4 e1g1	e8g8:12
e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1	f8e7:61 f6e4:34
e2e4 e7e5 g1f3 b8c6 f1b5 g8f6 e1g1 f6e4 d2d4	f8e7:8
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 b2b4 c5b4 c2c3	b4a5:23 b4c5:11
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 c2c3 g8f6 d2d4	e5d4:18
e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 d2d3	d7d6:13
e2e4 e7e5 g1f3 b8c6 f1c4 g8f6 f3g5 d7d5 e4d5	c6a5:14
e2e4 e7e5 g1f3 g8f6 f3e5 d7d6 e5f3 f6e4 d2d4	d6d5:14
e2e4 e7e6 d2d4 d7d5 b1c3 f8b4 e4e5 c7c5 a2a3	b4c3:28
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4e5	h7h6:8
e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8e7 e4e5	f6d7:13
d2d4 d7d5 c2c4 c7c6 b1c3 g8f6 e2e3 e7e6 g1f3 b8d7	f1d3:17
d2d4 d7d5 c2c4 d5c4 g1f3 g8f6 e2e3 e7e6 f1c4 c7c5	e1g1:13
d2d4 d7d5 c2c4 e7e6 b1c3 c7c5 c4d5 e6d5 g1f3 b8c6	g2g3:17
d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 e2e3 e8g8	g1f3:16
